N° Enr.;NomETS;RegionETS
442;BILINGUE THE WINNERS SCHOOL;POINTE-NOIRE
443;BILMS SAINT ZACK;BRAZZAVILLE
444;BILONG SCHOOL;POINTE-NOIRE
445;BIM RICHESSE;BRAZZAVILLE
446;BIMPAMBA BIMBOUANGO;POOL
447;BINGUILA;BRAZZAVILLE
448;BITCHY SCHOOL;BRAZZAVILLE
449;BIZATSINA;POOL
450;BLAISE PASCAL ;BRAZZAVILLE
451;BLANCHARD PUISSANCE II;BRAZZAVILLE
452;BLANDINE SCHOOL;POINTE-NOIRE
453;BLESSING SCHOOL;POINTE-NOIRE
454;BM LA CYNTHE-MERE;BRAZZAVILLE
455;BOF MANI;POINTE-NOIRE
456;BOLOZO;SANGHA
457;BOMALINGA;SANGHA
458;BOMBONGO;SANGHA
459;BONGO SCHOOL;BRAZZAVILLE
460;BONNE ESPERANCE;BRAZZAVILLE
461;BOTOBO;SANGHA
462;BOUDZOUKA;POOL
463;BOUESSO MARCEL;POINTE-NOIRE
464;BOUETA MBONGO;BRAZZAVILLE
465;BOUETA MBONGO;POOL
466;BOUETA MBONGO B;POOL
467;BOULANKIO;POOL
468;BRIAND JUNIOR;POINTE-NOIRE
469;BRICE MARTIAL BANIAKINA;BRAZZAVILLE
470;BRICK;POOL
471;BRIN DE BONHEUR;BRAZZAVILLE
472;BUANA KIBANGI ;BRAZZAVILLE
473;BUISSON ARDENT;BRAZZAVILLE
474;BYBOCASSES;SANGHA
475;BYBOCASSES 1;POINTE-NOIRE
476;BYBOCASSES 2;POINTE-NOIRE
477;BYBOCCASSES;POINTE-NOIRE
478;Bada ;KOUILOU
479;Bakanja;CUVETTE
480;Bakanja;CUVETTE CENTRALE
481;Balemon;PLATEAUX
482;Bamanga - Nienzé;NIARI
483;Banda Centre;NIARI
484;Banda Kayes;NIARI
485;Bandoye;LEKOUMOU
486;Bandza;PLATEAUX
487;Bandzie ;LEKOUMOU
488;Banga ;KOUILOU
489;Banga ;SANGHA
490;Bangondo;NIARI
491;Bangui-Motaba;LIKOUALA
492;Barmaline CETI;CUVETTE
493;Barmaline CETI;CUVETTE CENTRALE
494;Bas-Kouilou;KOUILOU
495;Bas-Kouilou;SANGHA
496;Base-Vie;LIKOUALA
497;Baya ;CUVETTE OUEST
498;Ben Okana;PLATEAUX
499;Bernard M. Mavoungou A;POINTE-NOIRE
500;Bernard M. Mavoungou B;POINTE-NOIRE
501;Bia ;CUVETTE OUEST
502;Biala;CUVETTE
503;Biala;CUVETTE CENTRALE
504;Bidoua ;LEKOUMOU
505;Bihongo;NIARI
506;Bihoua ;LEKOUMOU
507;Bikoumbi;BOUENZA
508;Bilala ;KOUILOU
509;Bilala ;SANGHA
510;Bilinga ;KOUILOU
511;Bilinga ;SANGHA
512;Bilingue;CUVETTE
513;Bilingue;CUVETTE CENTRALE
514;Bioko ;KOUILOU
515;Bioko ;SANGHA
516;Biri;CUVETTE
517;Biri;CUVETTE CENTRALE
518;Bissambi;LIKOUALA
519;Bississa annexe Dublin;NIARI
520;Bivéla ;KOUILOU
521;Bivéla ;SANGHA
522;Blandine School;NIARI
523;Bloc 1A;NIARI
524;Bloc 1B;NIARI
525;Bloc 2;NIARI
526;Bloc 3;NIARI
527;Bobanda;PLATEAUX
528;Bobi;PLATEAUX
529;Bobouakosso;PLATEAUX
530;Boboueta;CUVETTE
531;Boboueta;CUVETTE CENTRALE
532;Bodissa;BOUENZA
533;Bodouango 1;PLATEAUX
534;Bodouango 2;PLATEAUX
535;Bodzeka;PLATEAUX
536;Boha;LIKOUALA
537;Bohoulou;CUVETTE
538;Bohoulou;CUVETTE CENTRALE
539;Boka ;CUVETTE
540;Boka ;CUVETTE CENTRALE
541;Bokagna;CUVETTE
542;Bokagna;CUVETTE CENTRALE
543;Bokanda-Moyo;CUVETTE
544;Bokanda-Moyo;CUVETTE CENTRALE
545;Bokatola;LIKOUALA
546;Bokoma;CUVETTE
547;Bokoma;CUVETTE CENTRALE
548;Bokombo;CUVETTE
549;Bokombo;CUVETTE CENTRALE
550;Bokouango 1;CUVETTE
551;Bokouango 1 (Sossolo);CUVETTE CENTRALE
552;Bokouango 2;CUVETTE
553;Bokouango 2;CUVETTE CENTRALE
554;Bokouelé;CUVETTE
555;Bokouelé;CUVETTE CENTRALE
556;Boleko;CUVETTE
557;Boleko;CUVETTE CENTRALE
558;Bolembé;LIKOUALA
559;Bolomo;LIKOUALA
560;Boléké;LIKOUALA
561;Bomba;PLATEAUX
562;Bombokouta;CUVETTE
563;Bombé;CUVETTE
564;Bombé;CUVETTE CENTRALE
565;Bondeko;LIKOUALA
566;Bondoki;LIKOUALA
567;Bondzendzo;CUVETTE
568;Bondzendzo;CUVETTE CENTRALE
569;Bonga;CUVETTE
570;Bonga;CUVETTE CENTRALE
571;Bongandzi;LIKOUALA
572;Bongoye;LIKOUALA
573;Boniala;CUVETTE
574;Boniala;CUVETTE CENTRALE
575;Bonongo ;CUVETTE
576;Bonongo ;CUVETTE CENTRALE
577;Bossake;CUVETTE CENTRALE
578;Bosseka;LIKOUALA
579;Bossela;LIKOUALA
580;Bosso;BOUENZA
581;Bossouaka;CUVETTE OUEST
582;Botala;LIKOUALA
583;Botanga;LIKOUALA
584;Botongo;LIKOUALA
585;Botouali;CUVETTE CENTRALE
586;Bouanela;LIKOUALA
587;Bouanga;PLATEAUX
588;Bouansa A1;BOUENZA
589;Bouansa A2;BOUENZA
590;Bouansa B1;BOUENZA
591;Bouansa B2;BOUENZA
592;Boucy-Boucy;LIKOUALA
593;Boudianga;NIARI
594;Boudouhou ;LEKOUMOU
